Namecoin Mining Distribution
Block: 74592
12 Sep 2012 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%           2,017      100.00%               0           

                BTC Guild       28.17%             568        0.00%               0                     41.90%
                    Slush       18.95%             382        0.00%               0                     45.55%
                EclipseMC       15.33%             309        0.00%               0                     44.34%
                BitMinter       13.10%             264        0.00%               0                     50.38%
                  Unknown        8.48%             171        0.00%               0                     50.88%
                   OzCoin        7.79%             157        0.00%               0                     38.85%
                  Eligius        3.42%              69        0.00%               0                     57.97%
                   MaxBTC        2.28%              46        0.00%               0                     47.83%
             TripleMining        1.59%              32        0.00%               0                     46.88%
              poolserverj        0.60%              12        0.00%               0                     33.33%
                   NMCbit        0.30%               6        0.00%               0                     33.33%
