Namecoin Mining Distribution
Block: 114912
09 Jun 2013 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%           5,082      100.00%               0           

           BitMinter       33.78%           1,716        0.00%               0                     21.59%
           BTC Guild       12.65%             642        0.00%               0                     24.31%
             Eligius       12.25%             622        0.00%               0                     26.32%
           EclipseMC       11.41%             579        0.00%               0                     23.48%
              F2Pool       11.21%             569        0.00%               0                     31.42%
          Bitparking       10.22%             519        0.00%               0                     22.33%
             Unknown        4.41%             224        0.00%               0                     23.60%
           ASICMiner        2.33%             118        0.00%               0                     25.53%
        TripleMining        1.14%              57        0.00%               0                     21.74%
             Polmine        0.35%              17        0.00%               0                     14.29%
           SlushPool        0.25%              12        0.00%               0                     20.00%
