Namecoin Mining Distribution
Block: 135072
20 Sep 2013 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%         125,738      100.00%               0           

           BTC Guild       60.52%          76,080        0.00%               0                     57.54%
            GHash.IO       19.74%          24,837        0.00%               0                     58.04%
           EclipseMC        6.89%           8,668        0.00%               0                     66.19%
             Eligius        4.61%           5,799        0.00%               0                     58.06%
           BitMinter        4.12%           5,175        0.00%               0                     50.60%
              F2Pool        1.64%           2,057        0.00%               0                      3.03%
          Bitparking        1.19%           1,496        0.00%               0                     70.83%
             Unknown        0.55%             685        0.00%               0                     63.64%
             Polmine        0.50%             623        0.00%               0                     90.00%
        TripleMining        0.25%             311        0.00%               0                     40.00%
