Namecoin Mining Distribution
Block: 175392
06 May 2014 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%       8,738,716      100.00%               0           

                 GHash.IO       39.58%       3,459,272        0.00%               0                     65.41%
                   F2Pool       22.92%       2,002,547        0.00%               0                     66.23%
                BTC Guild       17.06%       1,491,074        0.00%               0                     65.41%
                  Eligius       13.10%       1,144,312        0.00%               0                     70.83%
                BitMinter        2.83%         247,067        0.00%               0                     59.65%
             CloudHashing        2.28%         199,387        0.00%               0                     60.87%
                EclipseMC        1.79%         156,042        0.00%               0                     66.67%
                   MMPool        0.15%          13,003        0.00%               0                     66.67%
                  Polmine        0.15%          13,003        0.00%               0                     33.33%
                  Unknown        0.10%           8,669        0.00%               0                     50.00%
            Give Me Coins        0.05%           4,334        0.00%               0                      0.00%
