Namecoin Mining Distribution
Block: 181440
10 Jun 2014 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%      14,614,561      100.00%               0           

                 GHash.IO       45.88%       6,706,315        0.00%               0                     66.81%
                   F2Pool       17.41%       2,544,266        0.00%               0                     68.95%
                BTC Guild       17.31%       2,529,768        0.00%               0                     69.05%
                  Eligius        9.87%       1,442,475        0.00%               0                     68.34%
             CloudHashing        4.17%         608,884        0.00%               0                     73.81%
                BitMinter        2.03%         297,193        0.00%               0                     70.73%
                  Polmine        1.69%         246,453        0.00%               0                     64.71%
                EclipseMC        0.94%         137,723        0.00%               0                     89.47%
                Cointerra        0.25%          36,243        0.00%               0                     60.00%
                   MMPool        0.20%          28,994        0.00%               0                     75.00%
                  Unknown        0.20%          28,994        0.00%               0                     75.00%
            Give Me Coins        0.05%           7,248        0.00%               0                      0.00%
