Namecoin Mining Distribution
Block: 187488
18 Jul 2014 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%      19,653,930      100.00%               0           

                 GHash.IO       48.61%       9,554,158        0.00%               0                     66.02%
                   F2Pool       23.07%       4,533,198        0.00%               0                     71.61%
                BTC Guild       10.91%       2,144,739        0.00%               0                     70.00%
                  Eligius        7.49%       1,472,071        0.00%               0                     70.20%
                  AntPool        3.62%         711,663        0.00%               0                     68.49%
                  Polmine        3.47%         682,417        0.00%               0                     70.00%
                BitMinter        1.19%         233,971        0.00%               0                     58.33%
                EclipseMC        1.09%         214,473        0.00%               0                     63.64%
             CloudHashing        0.35%          68,241        0.00%               0                     85.71%
                   MMPool        0.15%          29,246        0.00%               0                     66.67%
                  Unknown        0.05%           9,748        0.00%               0                    100.00%
