Namecoin Mining Distribution
Block: 262080
10 Dec 2015 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%      44,916,642      100.00%               0           

              F2Pool       69.94%      31,412,385        0.00%               0                     32.98%
           SlushPool       18.85%       8,465,749        0.00%               0                     27.11%
             Eligius        4.51%       2,030,938        0.00%               0                     36.26%
            GHash.IO        4.32%       1,938,211        0.00%               0                     27.59%
           BitMinter        1.59%         712,905        0.00%               0                     31.25%
           EclipseMC        0.50%         222,782        0.00%               0                     20.00%
             Unknown        0.10%          44,556        0.00%               0                     50.00%
      myBTCcoin Pool        0.10%          44,556        0.00%               0                    100.00%
           Multipool        0.05%          22,278        0.00%               0                    100.00%
              mmpool        0.05%          22,278        0.00%               0                      0.00%
