Namecoin Mining Distribution
Block: 314496
19 Nov 2016 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%     200,096,674      100.00%               0           

                   F2Pool       36.21%      72,452,094        0.00%               0                     40.68%
                     BTCC       23.31%      46,657,033        0.00%               0                     43.40%
                   ViaBTC       17.66%      35,332,802        0.00%               0                     46.35%
                    Slush       14.58%      29,179,336        0.00%               0                     42.52%
                  BTC.COM        6.85%      13,696,423        0.00%               0                     38.41%
                  Unknown        0.64%       1,290,242        0.00%               0                     53.85%
                 PHash.IO        0.40%         793,995        0.00%               0                     50.00%
                BitMinter        0.15%         297,748        0.00%               0                      0.00%
Default zone117x/NodeStratum        0.10%         198,498        0.00%               0                     50.00%
                  Eligius        0.10%         198,498        0.00%               0                      0.00%
