Namecoin Mining Distribution
Block: 330624
05 Mar 2017 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%     323,586,463      100.00%               0           

              F2Pool       28.82%      93,266,266        0.00%               0                     42.17%
                BTCC       16.22%      52,484,114        0.00%               0                     44.04%
              ViaBTC       14.09%      45,582,533        0.00%               0                     39.79%
           SlushPool       13.49%      43,656,511        0.00%               0                     41.18%
             BTC.TOP       12.30%      39,804,466        0.00%               0                     40.73%
             BTC.com       10.47%      33,865,896        0.00%               0                     42.65%
               CANOE        2.18%       7,062,082        0.00%               0                     40.91%
             BATPOOL        1.44%       4,654,554        0.00%               0                     41.38%
            PHash.IO        0.50%       1,605,018        0.00%               0                     40.00%
             Unknown        0.40%       1,284,015        0.00%               0                    100.00%
           BitMinter        0.05%         160,501        0.00%               0                    100.00%
               Eobot        0.05%         160,501        0.00%               0                      0.00%
