Namecoin Mining Distribution
Block: 342720
25 May 2017 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%     421,085,597      100.00%               0           

                   F2Pool       23.07%      97,123,668        0.00%               0                     44.09%
                     BTCC       19.39%      81,674,926        0.00%               0                     46.55%
                  BTC.COM       13.89%      58,483,069        0.00%               0                     48.93%
                   ViaBTC       13.14%      55,350,047        0.00%               0                     41.89%
                  AntPool        9.33%      39,267,203        0.00%               0                     44.15%
                    1Hash        8.48%      35,716,445        0.00%               0                     40.35%
                    Bixin        6.89%      29,032,666        0.00%               0                     33.81%
                    CANOE        3.92%      16,500,580        0.00%               0                     39.24%
                    Slush        1.29%       5,430,570        0.00%               0                     50.00%
                  Unknown        0.45%       1,879,812        0.00%               0                     44.44%
                BitMinter        0.15%         626,604        0.00%               0                     33.33%
