Namecoin Mining Distribution
Block: 344736
07 Jun 2017 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%     442,567,043      100.00%               0           

                   F2Pool       24.40%     108,004,779        0.00%               0                     39.84%
                     BTCC       21.08%      93,296,811        0.00%               0                     37.88%
                  BTC.COM       16.17%      71,564,142        0.00%               0                     46.32%
                   ViaBTC       12.20%      54,002,389        0.00%               0                     36.99%
                    Slush        6.45%      28,548,721        0.00%               0                     47.69%
                  AntPool        6.00%      26,562,151        0.00%               0                     42.15%
                    1Hash        5.90%      26,123,107        0.00%               0                     46.22%
                    CANOE        4.81%      21,293,625        0.00%               0                     38.14%
                    Bixin        2.43%      10,756,573        0.00%               0                     42.86%
                  Unknown        0.35%       1,536,653        0.00%               0                     85.71%
                BitMinter        0.15%         658,565        0.00%               0                     33.33%
                  BitClub        0.05%         219,521        0.00%               0                      0.00%
