Namecoin Mining Distribution
Block: 423360
29 Oct 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   8,274,951,551      100.00%               0           

             BTC.com       23.16%   1,916,955,406        0.00%               0                     75.59%
              ViaBTC       16.91%   1,399,746,881        0.00%               0                     78.59%
           SlushPool       14.34%   1,185,910,894        0.00%               0                     75.09%
             BTC.TOP       13.29%   1,100,094,323        0.00%               0                     76.87%
              F2Pool       10.91%     903,062,504        0.00%               0                     69.09%
              Poolin        8.78%     726,554,832        0.00%               0                     75.71%
             Unknown        4.76%     394,063,638        0.00%               0                     83.33%
             AntPool        2.33%     192,926,989        0.00%               0                     76.60%
          Huobi.pool        2.13%     176,507,671        0.00%               0                     79.07%
               Bixin        1.59%     131,354,546        0.00%               0                     75.00%
             WAYI.CN        1.44%     119,040,057        0.00%               0                     82.76%
              BTPOOL        0.35%      28,733,806        0.00%               0                     71.43%
