Namecoin Mining Distribution
Block: 475776
18 Oct 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  17,016,867,175      100.00%               0           

             BTC.com       21.33%   3,629,583,765        0.00%               0                     75.12%
              F2Pool       21.18%   3,604,261,088        0.00%               0                     81.03%
              Poolin       18.55%   3,156,893,787        0.00%               0                     80.75%
              ViaBTC       10.37%   1,764,146,528        0.00%               0                     83.25%
          Huobi.pool        7.79%   1,325,220,119        0.00%               0                     78.34%
             AntPool        7.14%   1,215,516,454        0.00%               0                     75.69%
           SlushPool        5.41%     920,057,280        0.00%               0                     83.49%
             BTC.TOP        4.32%     734,357,645        0.00%               0                     68.97%
              1THash        1.84%     312,313,021        0.00%               0                     81.08%
             Unknown        0.94%     160,376,957        0.00%               0                     94.74%
          SpiderPool        0.50%      84,408,924        0.00%               0                     70.00%
             WAYI.CN        0.50%      84,408,924        0.00%               0                     80.00%
          okpool.top        0.15%      25,322,677        0.00%               0                    100.00%
