Namecoin Mining Distribution
Block: 479808
15 Nov 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%  17,678,646,036      100.00%               0           

                   Poolin       22.02%   3,893,510,584        0.00%               0                     78.15%
                   F2Pool       18.06%   3,191,977,145        0.00%               0                     79.95%
                  BTC.COM       16.37%   2,893,828,818        0.00%               0                     80.61%
                  AntPool       11.46%   2,025,677,803        0.00%               0                     82.25%
                   ViaBTC        9.08%   1,604,757,740        0.00%               0                     80.87%
                    Huobi        6.70%   1,183,837,677        0.00%               0                     78.52%
                  BTC.TOP        5.75%   1,017,223,485        0.00%               0                     86.21%
                    Slush        5.41%     955,839,310        0.00%               0                     82.57%
                   1THash        4.61%     815,532,622        0.00%               0                     89.25%
               SpiderPool        0.35%      61,384,175        0.00%               0                    100.00%
                  Unknown        0.15%      26,307,503        0.00%               0                    100.00%
               Prohashing        0.05%       8,769,167        0.00%               0                    100.00%
