Namecoin Mining Distribution
Block: 501984
13 Apr 2020 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  23,216,515,287      100.00%               0           

              F2Pool       22.07%   5,125,815,390        0.00%               0                     87.42%
              Poolin       17.26%   4,007,360,639        0.00%               0                     82.18%
             BTC.com       13.34%   3,097,643,712        0.00%               0                     84.76%
             AntPool       10.62%   2,464,296,485        0.00%               0                     86.45%
            OKExPool        7.99%   1,853,980,065        0.00%               0                     88.20%
              ViaBTC        6.80%   1,577,610,366        0.00%               0                     86.13%
              1THash        6.45%   1,497,002,537        0.00%               0                     86.15%
          Huobi.pool        6.10%   1,416,394,708        0.00%               0                     84.55%
           SlushPool        6.05%   1,404,879,304        0.00%               0                     86.89%
             BTC.TOP        2.13%     495,162,377        0.00%               0                     95.35%
          SpiderPool        0.69%     161,215,657        0.00%               0                     78.57%
             WAYI.CN        0.40%      92,123,233        0.00%               0                     75.00%
          MiningCity        0.10%      23,030,808        0.00%               0                     50.00%
