Namecoin Mining Distribution
Block: 512064
23 Jun 2020 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  22,982,315,077      100.00%               0           

              F2Pool       20.78%   4,776,955,353        0.00%               0                     91.65%
              Poolin       16.87%   3,875,906,265        0.00%               0                     87.35%
             BTC.com       11.90%   2,735,933,834        0.00%               0                     92.08%
             AntPool       11.61%   2,667,535,488        0.00%               0                     89.74%
              1THash        7.39%   1,698,558,922        0.00%               0                     91.95%
          Huobi.pool        7.39%   1,698,558,922        0.00%               0                     93.29%
              ViaBTC        5.51%   1,265,369,398        0.00%               0                     90.09%
           SlushPool        5.01%   1,151,372,155        0.00%               0                     90.10%
            OKExPool        4.91%   1,128,572,706        0.00%               0                     83.84%
        Binance Pool        3.77%     866,379,047        0.00%               0                     90.79%
             BTC.TOP        3.27%     752,381,804        0.00%               0                     87.88%
          SpiderPool        0.84%     193,795,313        0.00%               0                     94.12%
           NovaBlock        0.40%      91,197,794        0.00%               0                     87.50%
             WAYI.CN        0.15%      34,199,172        0.00%               0                    100.00%
        Mining-Dutch        0.10%      22,799,448        0.00%               0                    100.00%
          MiningCity        0.05%      11,399,724        0.00%               0                    100.00%
             Unknown        0.05%      11,399,724        0.00%               0                    100.00%
