Namecoin Mining Distribution
Block: 530208
26 Oct 2020 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%  25,231,025,316      100.00%               0           

                   F2Pool       18.25%   4,605,615,405        0.00%               0                     75.82%
                   Poolin       18.25%   4,605,615,405        0.00%               0                     73.10%
                  BTC.COM       13.99%   3,529,303,109        0.00%               0                     73.40%
                    Huobi       12.80%   3,228,936,887        0.00%               0                     70.93%
                   ViaBTC        8.63%   2,177,655,110        0.00%               0                     81.03%
                  AntPool        5.46%   1,376,941,179        0.00%               0                     77.27%
             Binance Pool        5.41%   1,364,163,258        0.00%               0                     71.56%
                   1THash        3.87%     976,190,221        0.00%               0                     71.79%
                 OKExPool        3.52%     888,583,406        0.00%               0                     80.28%
                    Slush        3.03%     763,430,814        0.00%               0                     70.49%
               MiningCity        2.03%     513,125,629        0.00%               0                     75.61%
                  BTC.TOP        1.49%     375,457,777        0.00%               0                     80.00%
               SpiderPool        1.29%     325,396,740        0.00%               0                     80.77%
              TATMAS Pool        0.79%     200,244,148        0.00%               0                     56.25%
                NovaBlock        0.69%     175,213,629        0.00%               0                     57.14%
                Sigmapool        0.25%      62,576,296        0.00%               0                     80.00%
                   OKKONG        0.20%      50,061,037        0.00%               0                     75.00%
             Mining-Dutch        0.05%      12,515,259        0.00%               0                    100.00%
