Namecoin Mining Distribution
Block: 548352
03 Mar 2021 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  21,393,560,150      100.00%               0           

              F2Pool       26.44%   5,656,034,802        0.00%               0                     55.91%
             BTC.com       14.29%   3,056,546,758        0.00%               0                     51.39%
              ViaBTC       13.89%   2,971,275,318        0.00%               0                     55.36%
             AntPool       12.90%   2,759,041,366        0.00%               0                     56.92%
        Binance Pool        9.87%   2,111,727,815        0.00%               0                     52.76%
              Poolin        8.83%   1,888,882,166        0.00%               0                     60.67%
           SlushPool        5.56%   1,188,510,127        0.00%               0                     57.14%
          Huobi.pool        4.27%     912,605,990        0.00%               0                     59.30%
            EMCDPool        1.19%     254,680,741        0.00%               0                     45.83%
          SpiderPool        0.74%     159,175,463        0.00%               0                     66.67%
            OKExPool        0.64%     137,952,068        0.00%               0                     61.54%
              OKKONG        0.45%      95,505,278        0.00%               0                     44.44%
       Sigmapool.com        0.45%      95,505,278        0.00%               0                     33.33%
             BTC.TOP        0.20%      42,446,790        0.00%               0                     25.00%
              1THash        0.15%      31,835,092        0.00%               0                    100.00%
        Mining-Dutch        0.05%      10,611,697        0.00%               0                    100.00%
             Unknown        0.05%      10,611,697        0.00%               0                    100.00%
             WAYI.CN        0.05%      10,611,697        0.00%               0                      0.00%
