Namecoin Mining Distribution
Block: 566496
11 Jul 2021 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  17,560,029,046      100.00%               0           

              F2Pool       21.63%   3,798,125,679        0.00%               0                     77.06%
             AntPool       17.16%   3,014,108,911        0.00%               0                     78.32%
              ViaBTC       15.92%   2,794,379,901        0.00%               0                     84.74%
              Poolin       12.60%   2,212,669,547        0.00%               0                     81.50%
        Binance Pool       12.05%   2,116,845,275        0.00%               0                     82.30%
             BTC.com       10.37%   1,820,661,163        0.00%               0                     84.69%
           SlushPool        5.56%     975,665,312        0.00%               0                     81.25%
            EMCDPool        1.88%     331,029,302        0.00%               0                     68.42%
          Huobi.pool        1.09%     191,648,543        0.00%               0                     86.36%
       Sigmapool.com        0.55%      95,824,271        0.00%               0                     81.82%
              OKKONG        0.45%      78,401,676        0.00%               0                     88.89%
            OKExPool        0.40%      69,690,379        0.00%               0                     62.50%
          SpiderPool        0.20%      34,845,189        0.00%               0                     75.00%
              1THash        0.10%      17,422,594        0.00%               0                     50.00%
             BTC.TOP        0.05%       8,711,297        0.00%               0                    100.00%
