Namecoin Mining Distribution
Block: 57939
29 May 2012 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%             941      100.00%               0           

                    Slush       29.75%             280        0.00%               0                     36.11%
                BTC Guild       24.79%             233        0.00%               0                     56.67%
                   OzCoin       11.57%             108        0.00%               0                     42.86%
                  Unknown        8.26%              77        0.00%               0                     60.00%
                BitMinter        7.44%              70        0.00%               0                     33.33%
                  Eligius        6.61%              62        0.00%               0                     62.50%
                EclipseMC        5.79%              54        0.00%               0                     28.57%
                   MaxBTC        2.48%              23        0.00%               0                      0.00%
             TripleMining        2.48%              23        0.00%               0                     33.33%
                   NMCbit        0.83%               7        0.00%               0                      0.00%
