Namecoin Mining Distribution
Block: 112537
25 May 2013 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%           5,202      100.00%               0           

           BitMinter       46.15%           2,401        0.00%               0                     21.43%
          Bitparking       13.19%             686        0.00%               0                     20.83%
             Eligius       10.99%             571        0.00%               0                     25.00%
           EclipseMC        9.89%             514        0.00%               0                     16.67%
           BTC Guild        8.24%             428        0.00%               0                     13.33%
        TripleMining        3.85%             200        0.00%               0                      0.00%
             Polmine        2.75%             142        0.00%               0                     20.00%
             Unknown        2.20%             114        0.00%               0                      0.00%
              F2Pool        1.65%              85        0.00%               0                     66.67%
           SlushPool        1.10%              57        0.00%               0                      0.00%
