Namecoin Mining Distribution
Block: 114995
10 Jun 2013 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%           5,181      100.00%               0           

           BitMinter       28.67%           1,481        0.00%               0                     20.93%
              F2Pool       16.67%             864        0.00%               0                     24.00%
          Bitparking       13.33%             691        0.00%               0                     20.00%
           BTC Guild       12.00%             624        0.00%               0                     11.11%
           ASICMiner       10.00%             518        0.00%               0                     20.00%
             Eligius        8.67%             450        0.00%               0                     15.38%
           EclipseMC        6.67%             342        0.00%               0                     10.00%
             Polmine        2.00%             104        0.00%               0                     33.33%
        TripleMining        1.33%              70        0.00%               0                     50.00%
           SlushPool        0.67%              33        0.00%               0                      0.00%
