Namecoin Mining Distribution
Block: 406710
08 Jul 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   7,830,696,446      100.00%               0           

             BTC.com       23.59%   1,847,241,213        0.00%               0                     67.39%
              ViaBTC       20.51%   1,606,296,707        0.00%               0                     70.00%
             BTC.TOP       15.90%   1,244,879,947        0.00%               0                     67.74%
           SlushPool       15.38%   1,204,722,530        0.00%               0                     83.33%
              F2Pool        7.69%     602,361,265        0.00%               0                     46.67%
             AntPool        6.15%     481,889,012        0.00%               0                     91.67%
              Poolin        3.59%     281,101,923        0.00%               0                     57.14%
               Bixin        2.56%     200,787,088        0.00%               0                     80.00%
             WAYI.CN        2.05%     160,629,670        0.00%               0                     25.00%
              BTPOOL        1.03%      80,314,835        0.00%               0                      0.00%
          Huobi.pool        1.03%      80,314,835        0.00%               0                    100.00%
             Unknown        0.51%      40,157,417        0.00%               0                      0.00%
