Namecoin Mining Distribution
Block: 423656
31 Oct 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   8,516,941,426      100.00%               0           

             BTC.com       21.05%   1,793,040,300        0.00%               0                     68.75%
           SlushPool       19.74%   1,680,975,281        0.00%               0                     63.33%
              ViaBTC       17.76%   1,512,877,753        0.00%               0                     59.26%
              F2Pool       11.84%   1,008,585,168        0.00%               0                     77.78%
             BTC.TOP        8.55%     728,422,621        0.00%               0                     69.23%
              Poolin        6.58%     560,325,093        0.00%               0                     70.00%
             Unknown        5.92%     504,292,584        0.00%               0                     44.44%
               Bixin        4.61%     392,227,565        0.00%               0                     42.86%
          Huobi.pool        1.97%     168,097,528        0.00%               0                     66.67%
             WAYI.CN        1.32%     112,065,018        0.00%               0                    100.00%
              BTPOOL        0.66%      56,032,509        0.00%               0                      0.00%
