Namecoin Mining Distribution
Block: 426749
23 Nov 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   6,656,656,825      100.00%               0           

             BTC.com       24.37%   1,622,210,486        0.00%               0                     72.41%
           SlushPool       21.01%   1,398,457,316        0.00%               0                     64.00%
              F2Pool       15.97%   1,062,827,560        0.00%               0                     89.47%
              ViaBTC       15.13%   1,006,889,267        0.00%               0                     72.22%
             BTC.TOP       11.76%     783,136,097        0.00%               0                     78.57%
              Poolin        5.04%     335,629,755        0.00%               0                     50.00%
          Huobi.pool        2.52%     167,814,877        0.00%               0                     66.67%
             Unknown        2.52%     167,814,877        0.00%               0                    100.00%
               Bixin        0.84%      55,938,292        0.00%               0                    100.00%
             WAYI.CN        0.84%      55,938,292        0.00%               0                    100.00%
