Namecoin Mining Distribution
Block: 442980
16 Mar 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   8,072,811,441      100.00%               0           

             BTC.com       20.27%   1,636,380,697        0.00%               0                     83.33%
              Poolin       16.89%   1,363,650,581        0.00%               0                     64.00%
             BTC.TOP       14.86%   1,200,012,511        0.00%               0                     81.82%
             AntPool       12.16%     981,828,418        0.00%               0                     66.67%
           SlushPool       11.49%     927,282,395        0.00%               0                     76.47%
              ViaBTC        9.46%     763,644,325        0.00%               0                     71.43%
              F2Pool        8.78%     709,098,302        0.00%               0                     61.54%
               Bixin        2.70%     218,184,093        0.00%               0                     50.00%
          Huobi.pool        2.70%     218,184,093        0.00%               0                     75.00%
             WAYI.CN        0.68%      54,546,023        0.00%               0                    100.00%
