Namecoin Mining Distribution
Block: 444479
26 Mar 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%   7,597,154,030      100.00%               0           

                  BTC.COM       19.73%   1,498,758,278        0.00%               0                     72.41%
                  AntPool       15.65%   1,188,670,358        0.00%               0                     82.61%
                   F2Pool       14.97%   1,136,989,038        0.00%               0                     63.64%
                  BTC.TOP       14.29%   1,085,307,718        0.00%               0                     90.48%
                   ViaBTC       10.88%     826,901,118        0.00%               0                     62.50%
                   Poolin       10.20%     775,219,799        0.00%               0                     66.67%
                    Slush        8.84%     671,857,159        0.00%               0                     84.62%
                    Huobi        2.72%     206,725,279        0.00%               0                    100.00%
                    Bixin        2.04%     155,043,959        0.00%               0                    100.00%
               Prohashing        0.68%      51,681,319        0.00%               0                    100.00%
