Namecoin Mining Distribution
Block: 454405
31 May 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%   9,207,088,562      100.00%               0           

                  BTC.COM       21.38%   1,968,412,037        0.00%               0                     87.10%
                   F2Pool       19.31%   1,777,920,550        0.00%               0                     82.14%
                  AntPool       15.86%   1,460,434,737        0.00%               0                     73.91%
                   ViaBTC       13.79%   1,269,943,250        0.00%               0                     80.00%
                  BTC.TOP        8.97%     825,463,112        0.00%               0                     92.31%
                    Slush        8.28%     761,965,950        0.00%               0                     83.33%
                   Poolin        7.59%     698,468,787        0.00%               0                     90.91%
                  Unknown        2.76%     253,988,650        0.00%               0                    100.00%
                    Huobi        1.38%     126,994,325        0.00%               0                    100.00%
                    Bixin        0.69%      63,497,162        0.00%               0                      0.00%
