Namecoin Mining Distribution
Block: 472903
29 Sep 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  18,040,023,166      100.00%               0           

             BTC.com       24.84%   4,481,279,640        0.00%               0                     74.36%
              F2Pool       21.02%   3,791,852,003        0.00%               0                     87.88%
              Poolin       12.10%   2,183,187,517        0.00%               0                     78.95%
              ViaBTC       12.10%   2,183,187,517        0.00%               0                     63.16%
          Huobi.pool       11.46%   2,068,282,910        0.00%               0                     72.22%
           SlushPool        7.01%   1,263,950,667        0.00%               0                     63.64%
             AntPool        5.10%     919,236,849        0.00%               0                    100.00%
             BTC.TOP        3.18%     574,523,030        0.00%               0                     80.00%
          SpiderPool        1.27%     229,809,212        0.00%               0                    100.00%
             Unknown        1.27%     229,809,212        0.00%               0                    100.00%
             WAYI.CN        0.64%     114,904,606        0.00%               0                    100.00%
