Namecoin Mining Distribution
Block: 486509
30 Dec 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  21,736,668,413      100.00%               0           

              F2Pool       18.35%   3,989,641,670        0.00%               0                     93.10%
              Poolin       18.35%   3,989,641,670        0.00%               0                     89.66%
             AntPool       14.56%   3,164,198,566        0.00%               0                     82.61%
             BTC.com       12.03%   2,613,903,163        0.00%               0                     84.21%
            BytePool        6.33%   1,375,738,507        0.00%               0                     90.00%
              1THash        5.70%   1,238,164,656        0.00%               0                     88.89%
          Huobi.pool        5.06%   1,100,590,805        0.00%               0                     87.50%
              ViaBTC        4.43%     963,016,955        0.00%               0                    100.00%
          okpool.top        4.43%     963,016,955        0.00%               0                    100.00%
           SlushPool        3.80%     825,443,104        0.00%               0                    100.00%
             BTC.TOP        3.16%     687,869,253        0.00%               0                    100.00%
             Unknown        3.16%     687,869,253        0.00%               0                    100.00%
          SpiderPool        0.63%     137,573,850        0.00%               0                    100.00%
