Namecoin Mining Distribution
Block: 492811
09 Feb 2020 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%  23,445,310,938      100.00%               0           

                   F2Pool       20.44%   4,791,742,381        0.00%               0                    100.00%
                  BTC.COM       16.06%   3,764,940,442        0.00%               0                     86.36%
                   Poolin       13.87%   3,251,539,473        0.00%               0                     94.74%
                  BTC.TOP        8.03%   1,882,470,221        0.00%               0                    100.00%
                 OKExPool        8.03%   1,882,470,221        0.00%               0                    100.00%
                  AntPool        7.30%   1,711,336,564        0.00%               0                    100.00%
                   1THash        5.84%   1,369,069,251        0.00%               0                    100.00%
                 BytePool        5.11%   1,197,935,595        0.00%               0                    100.00%
                   ViaBTC        5.11%   1,197,935,595        0.00%               0                    100.00%
                    Huobi        2.92%     684,534,625        0.00%               0                    100.00%
                    Slush        2.92%     684,534,625        0.00%               0                    100.00%
                  Unknown        2.92%     684,534,625        0.00%               0                    100.00%
               Prohashing        0.73%     171,133,656        0.00%               0                    100.00%
               SpiderPool        0.73%     171,133,656        0.00%               0                    100.00%
