Namecoin Mining Distribution
Block: 109750
09 May 2013 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%           3,655      100.00%               0           

       BitMinter-1a0       41.96%           1,564        0.00%               0                     19.55%
       EclipseMC-1a0       15.38%             564        0.00%               0                     24.09%
      Bitparking-1a0       15.47%             544        0.00%               0                     16.97%
       BTC Guild-1a0       13.50%             485        0.00%               0                     24.31%
         Eligius-1a0        7.36%             264        0.00%               0                     25.48%
         Unknown-1a0        1.97%              72        0.00%               0                     33.33%
    TripleMining-1a0        1.88%              68        0.00%               0                     20.00%
       SlushPool-1a0        0.94%              34        0.00%               0                     30.00%
          MaxBTC-1a0        0.70%              25        0.00%               0                     40.00%
          F2Pool-1b0        0.66%              24        0.00%               0                    100.00%
         Unknown-1b0        0.09%               3        0.00%               0                    100.00%
          F2Pool-1a0        0.09%               3        0.00%               0                     50.00%
