Namecoin Mining Distribution
Block: 171142
10 Apr 2014 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%       6,701,544      100.00%               0           

             GHash.IO-190       36.16%       2,426,816        0.00%               0                     64.57%
               F2Pool-190       21.59%       1,448,488        0.00%               0                     65.08%
            BTC Guild-190       20.82%       1,394,651        0.00%               0                     64.81%
              Eligius-190       15.47%       1,034,034        0.00%               0                     64.82%
            EclipseMC-190        2.53%         167,145        0.00%               0                     62.71%
            BitMinter-190        1.76%         116,028        0.00%               0                     53.66%
         CloudHashing-190        1.37%          94,097        0.00%               0                     59.38%
              Unknown-190        0.13%           8,519        0.00%               0                     66.67%
              Polmine-190        0.09%           5,881        0.00%               0                    100.00%
        Give Me Coins-190        0.04%           2,940        0.00%               0                      0.00%
               MMPool-190        0.04%           2,940        0.00%               0                    100.00%
