Namecoin Mining Distribution
Block: 206249
20 Nov 2014 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%      36,786,035      100.00%               0           

               F2Pool-181       43.33%      15,941,609        0.00%               0                     55.74%
             GHash.IO-181       28.74%      10,575,452        0.00%               0                     54.79%
            BTC Guild-181        8.50%       3,126,742        0.00%               0                     49.43%
              AntPool-181        7.29%       2,682,520        0.00%               0                     49.67%
              Eligius-181        6.33%       2,328,320        0.00%               0                     55.73%
              Polmine-181        1.69%         620,611        0.00%               0                     45.71%
         CloudHashing-181        1.35%         498,031        0.00%               0                     57.14%
              Unknown-181        1.30%         479,621        0.00%               0                     44.44%
            BitMinter-181        1.01%         373,219        0.00%               0                     47.62%
            EclipseMC-181        0.43%         159,907        0.00%               0                     55.56%
