Namecoin Mining Distribution
Block: 217749
12 Feb 2015 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%      27,398,884      100.00%               0           

               F2Pool-181       48.50%      13,288,680        0.00%               0                     40.43%
             GHash.IO-181       21.82%       5,978,090        0.00%               0                     43.02%
            BTC Guild-181        9.98%       2,733,212        0.00%               0                     40.89%
              Eligius-181        8.01%       2,194,550        0.00%               0                     42.94%
              Unknown-181        7.42%       2,032,924        0.00%               0                     42.38%
            BitMinter-181        1.57%         430,818        0.00%               0                     34.38%
            EclipseMC-181        1.13%         309,650        0.00%               0                     26.09%
                Bixin-181        0.74%         202,084        0.00%               0                     13.33%
             TangPool-181        0.54%         148,093        0.00%               0                     45.45%
               MMPool-181        0.25%          67,315        0.00%               0                     60.00%
              Unknown-1a1        0.05%          13,463        0.00%               0                    100.00%
