Namecoin Mining Distribution
Block: 314122
17 Nov 2016 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%     197,987,180      100.00%               0           

          F2Pool-180       36.38%      72,041,315        0.00%               0                     42.12%
            BTCC-180       24.04%      47,604,084        0.00%               0                     43.13%
          ViaBTC-180       17.75%      35,144,008        0.00%               0                     47.03%
       SlushPool-180       14.54%      28,792,115        0.00%               0                     42.90%
         BTC.com-180        6.01%      11,872,245        0.00%               0                     36.64%
         Unknown-180        0.60%       1,172,815        0.00%               0                     53.85%
        PHash.IO-180        0.32%         631,515        0.00%               0                     42.86%
         Eligius-180        0.14%         273,098        0.00%               0                      0.00%
       BitMinter-180        0.14%         273,098        0.00%               0                      0.00%
         Unknown-1a0        0.05%          92,665        0.00%               0                    100.00%
           Eobot-180        0.05%          90,216        0.00%               0                    100.00%
