Namecoin Mining Distribution
Block: 337851
20 Apr 2017 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%     447,912,932      100.00%               0           

         AntPool-180       24.24%     108,550,518        0.00%               0                     51.31%
          F2Pool-180       21.45%      96,129,190        0.00%               0                     49.54%
            BTCC-180       17.92%      80,326,103        0.00%               0                     52.73%
         BTC.TOP-180       10.04%      44,907,715        0.00%               0                     48.29%
       SlushPool-180        8.72%      39,035,441        0.00%               0                     52.25%
          ViaBTC-180        7.05%      31,591,161        0.00%               0                     43.75%
         BTC.com-180        5.58%      25,009,937        0.00%               0                     50.88%
           CANOE-180        2.55%      11,395,587        0.00%               0                     53.85%
         BATPOOL-180        1.42%       6,360,634        0.00%               0                     51.72%
         Unknown-180        0.39%       1,753,992        0.00%               0                     87.50%
        PHash.IO-180        0.29%       1,317,102        0.00%               0                     66.67%
           Eobot-180        0.20%         875,923        0.00%               0                     75.00%
         Unknown-190        0.15%         659,623        0.00%               0                    100.00%
