Namecoin Mining Distribution
Block: 351000
13 Jul 2017 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%     864,168,726      100.00%               0           

              BTC.TOP-180       18.52%     160,004,908        0.00%               0                     73.74%
               F2Pool-180       14.10%     121,819,227        0.00%               0                     75.61%
              AntPool-180       12.77%     110,205,336        0.00%               0                     68.08%
                Bixin-180       11.94%     103,185,825        0.00%               0                     69.14%
                 BTCC-180       11.20%      96,851,504        0.00%               0                     73.25%
              BTC.COM-180       10.71%      92,553,725        0.00%               0                     73.39%
                Slush-180        6.93%      59,711,585        0.00%               0                     70.21%
               ViaBTC-180        6.88%      59,530,772        0.00%               0                     67.86%
                1Hash-180        1.92%      16,596,861        0.00%               0                     64.10%
              BATPOOL-180        1.67%      14,425,501        0.00%               0                     79.41%
              BitClub-180        1.42%      12,290,094        0.00%               0                     79.31%
                CANOE-180        1.13%       9,740,187        0.00%               0                     73.91%
              Unknown-180        0.34%       2,964,404        0.00%               0                     42.86%
               BTPOOL-180        0.25%       2,162,371        0.00%               0                     60.00%
               1THash-180        0.10%         846,972        0.00%               0                     50.00%
            Waterhole-180        0.05%         432,474        0.00%               0                    100.00%
              Unknown-190        0.05%         423,486        0.00%               0                    100.00%
            BitMinter-180        0.05%         423,486        0.00%               0                      0.00%
