Namecoin Mining Distribution
Block: 361851
21 Sep 2017 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   1,312,618,306      100.00%               0           

         BTC.TOP-180       16.92%     223,362,027        0.00%               0                     81.84%
         BTC.com-180       16.09%     210,855,314        0.00%               0                     77.49%
          ViaBTC-180       15.41%     202,322,091        0.00%               0                     83.93%
          F2Pool-180        9.40%     120,268,514        0.00%               0                     71.22%
         AntPool-180        8.44%     110,041,677        0.00%               0                     79.35%
       SlushPool-180        7.66%     102,767,814        0.00%               0                     79.64%
           Bixin-180        6.37%      82,878,666        0.00%               0                     75.54%
            BTCC-180        6.05%      77,385,265        0.00%               0                     75.00%
         Unknown-180        2.84%      38,345,227        0.00%               0                    100.00%
           1Hash-180        2.66%      37,216,151        0.00%               0                     68.97%
          BTPOOL-180        2.38%      31,223,349        0.00%               0                     75.00%
       CanoePool-180        1.93%      25,795,090        0.00%               0                     80.95%
         BitClub-180        1.74%      23,102,673        0.00%               0                     81.58%
         BATPOOL-180        1.47%      18,803,490        0.00%               0                     81.25%
       Waterhole-180        0.46%       6,079,650        0.00%               0                     60.00%
           CANOE-180        0.09%       1,085,651        0.00%               0                     50.00%
         Unknown-1a0        0.05%         542,825        0.00%               0                    100.00%
          1THash-180        0.05%         542,825        0.00%               0                    100.00%
