Namecoin Mining Distribution
Block: 413705
23 Aug 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   8,238,055,265      100.00%               0           

         BTC.com-172       23.05%   1,898,059,847        0.00%               0                     78.31%
       SlushPool-172       16.52%   1,362,802,219        0.00%               0                     74.06%
          ViaBTC-172       13.86%   1,143,026,533        0.00%               0                     74.91%
         BTC.TOP-172       13.00%   1,069,124,758        0.00%               0                     80.22%
          F2Pool-172        9.33%     768,184,451        0.00%               0                     77.55%
         AntPool-172        7.00%     576,395,951        0.00%               0                     78.23%
          Poolin-172        5.86%     483,699,474        0.00%               0                     80.49%
          ViaBTC-180        3.38%     278,318,214        0.00%               0                    100.00%
           Bixin-172        3.33%     274,866,815        0.00%               0                     74.29%
         WAYI.CN-172        1.71%     141,032,014        0.00%               0                     66.67%
            BTCC-172        1.00%      82,195,071        0.00%               0                     95.24%
          BTPOOL-172        0.71%      58,689,735        0.00%               0                     73.33%
      Huobi.pool-172        0.52%      43,117,650        0.00%               0                     63.64%
         BTC.TOP-180        0.29%      23,358,128        0.00%               0                    100.00%
         Unknown-180        0.19%      15,719,292        0.00%               0                    100.00%
         Unknown-172        0.14%      11,679,064        0.00%               0                    100.00%
         Unknown-190        0.05%       3,893,021        0.00%               0                    100.00%
          F2Pool-190        0.05%       3,893,021        0.00%               0                    100.00%
