Namecoin Mining Distribution
Block: 419995
04 Oct 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%   9,182,038,439      100.00%               0           

              BTC.COM-172       21.85%   2,001,349,913        0.00%               0                     72.05%
               ViaBTC-172       14.69%   1,341,147,649        0.00%               0                     79.22%
                Slush-172       13.98%   1,282,085,617        0.00%               0                     75.09%
              BTC.TOP-172       13.26%   1,219,325,994        0.00%               0                     74.82%
               F2Pool-172       10.59%     974,961,471        0.00%               0                     71.17%
               Poolin-172        8.06%     745,098,511        0.00%               0                     73.96%
              AntPool-172        6.73%     618,714,441        0.00%               0                     73.76%
              Unknown-172        4.29%     399,415,576        0.00%               0                     70.00%
                Bixin-172        2.15%     195,674,052        0.00%               0                     75.56%
                Huobi-172        1.67%     154,618,640        0.00%               0                     80.00%
               ViaBTC-180        1.29%     119,421,299        0.00%               0                    100.00%
              BTC.TOP-180        0.86%      78,605,765        0.00%               0                    100.00%
               BTPOOL-172        0.29%      25,977,825        0.00%               0                     83.33%
              Unknown-180        0.19%      17,094,453        0.00%               0                    100.00%
              BTC.COM-180        0.05%       4,273,613        0.00%               0                    100.00%
                Huobi-180        0.05%       4,273,613        0.00%               0                    100.00%
