Namecoin Mining Distribution
Block: 423812
01 Nov 2018 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%   8,323,757,093      100.00%               0           

         BTC.com-172       24.04%   2,000,357,280        0.00%               0                     73.67%
          ViaBTC-172       14.84%   1,238,775,027        0.00%               0                     74.55%
       SlushPool-172       14.57%   1,205,932,923        0.00%               0                     77.01%
         BTC.TOP-172       12.34%   1,026,720,780        0.00%               0                     76.29%
          F2Pool-172       11.86%     987,650,793        0.00%               0                     69.96%
          Poolin-172        9.10%     758,043,612        0.00%               0                     74.85%
         Unknown-172        4.41%     367,484,794        0.00%               0                     75.90%
           Bixin-172        1.91%     158,403,441        0.00%               0                     69.44%
      Huobi.pool-172        1.81%     150,617,809        0.00%               0                     82.35%
         AntPool-172        1.49%     126,836,214        0.00%               0                     82.14%
         WAYI.CN-172        1.49%     123,863,320        0.00%               0                     78.57%
          ViaBTC-180        0.74%      62,993,408        0.00%               0                    100.00%
         BTC.TOP-180        0.48%      39,919,384        0.00%               0                    100.00%
          BTPOOL-172        0.37%      31,284,354        0.00%               0                     71.43%
         Unknown-180        0.32%      26,754,489        0.00%               0                    100.00%
          F2Pool-190        0.05%       4,529,864        0.00%               0                    100.00%
         BTC.com-180        0.05%       4,529,864        0.00%               0                    100.00%
         WAYI.CN-180        0.05%       4,529,864        0.00%               0                    100.00%
      Huobi.pool-180        0.05%       4,529,864        0.00%               0                    100.00%
