Namecoin Mining Distribution
Block: 456310
13 Jun 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%   9,481,350,374      100.00%               0           

              BTC.COM-172       24.54%   2,324,472,357        0.00%               0                     74.75%
               F2Pool-172       12.73%   1,205,220,428        0.00%               0                     75.86%
                Slush-172       12.54%   1,189,060,293        0.00%               0                     76.65%
              AntPool-172       11.56%   1,099,447,189        0.00%               0                     76.37%
              BTC.TOP-172       10.15%     964,830,822        0.00%               0                     78.85%
               Poolin-172       10.05%     950,310,903        0.00%               0                     77.18%
               ViaBTC-172        9.85%     932,569,050        0.00%               0                     76.73%
                Huobi-172        3.12%     296,749,351        0.00%               0                     67.19%
              Unknown-180        2.05%     194,424,006        0.00%               0                    100.00%
                Bixin-172        0.98%      92,550,580        0.00%               0                     75.00%
               Poolin-180        0.54%      51,162,672        0.00%               0                    100.00%
               okpool-180        0.49%      46,614,229        0.00%               0                    100.00%
               ViaBTC-180        0.44%      41,387,907        0.00%               0                    100.00%
              BTC.TOP-180        0.44%      41,161,947        0.00%               0                    100.00%
              Unknown-172        0.24%      23,420,094        0.00%               0                     60.00%
                Huobi-180        0.10%       9,322,845        0.00%               0                    100.00%
            BitMinter-172        0.05%       4,774,402        0.00%               0                    100.00%
           Prohashing-180        0.05%       4,774,402        0.00%               0                    100.00%
           Prohashing-190        0.05%       4,548,443        0.00%               0                    100.00%
              BTC.COM-192        0.05%       4,548,443        0.00%               0                    100.00%
