Namecoin Mining Distribution
Block: 458570
27 Jun 2019 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%  11,282,335,227      100.00%               0           

         BTC.com-172       22.70%   2,563,533,867        0.00%               0                     78.75%
         AntPool-172       14.65%   1,644,278,949        0.00%               0                     83.08%
          F2Pool-172       11.42%   1,288,928,709        0.00%               0                     80.23%
       SlushPool-172       11.06%   1,251,780,337        0.00%               0                     80.40%
          Poolin-172       10.49%   1,182,377,250        0.00%               0                     81.01%
          ViaBTC-172       10.35%   1,167,529,815        0.00%               0                     76.92%
         BTC.TOP-172        7.57%     858,353,098        0.00%               0                     84.80%
      Huobi.pool-172        5.44%     617,126,958        0.00%               0                     81.30%
           Bixin-172        1.33%     149,522,114        0.00%               0                     86.67%
         Unknown-180        1.33%     148,474,348        0.00%               0                    100.00%
          Poolin-180        0.84%      94,383,009        0.00%               0                    100.00%
          ViaBTC-180        0.62%      70,510,423        0.00%               0                    100.00%
         WAYI.CN-172        0.62%      66,843,241        0.00%               0                     64.29%
      okpool.top-172        0.40%      46,637,836        0.00%               0                     88.89%
         Unknown-172        0.40%      45,066,187        0.00%               0                     88.89%
      okpool.top-180        0.40%      42,970,655        0.00%               0                    100.00%
         BTC.TOP-180        0.18%      19,621,952        0.00%               0                    100.00%
      Huobi.pool-180        0.13%      14,847,434        0.00%               0                    100.00%
         BTC.com-180        0.09%       9,549,034        0.00%               0                    100.00%
