Namecoin Mining Distribution
Block: 127717
15 Aug 2013 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                            % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

              Total Chain      100.00%          35,443      100.00%               0           

                BTC Guild       55.61%          19,731        0.00%               0                     39.98%
                EclipseMC       11.74%           4,173        0.00%               0                     39.33%
                BitMinter       10.19%           3,523        0.00%               0                     31.39%
                  Eligius        8.74%           3,038        0.00%               0                     33.21%
                   F2Pool        5.61%           1,971        0.00%               0                     40.59%
                 GHash.IO        3.76%           1,538        0.00%               0                     38.60%
               Bitparking        2.41%             815        0.00%               0                     31.51%
                  Polmine        0.92%             303        0.00%               0                     32.14%
                  Unknown        0.86%             290        0.00%               0                     53.85%
             TripleMining        0.16%              57        0.00%               0                     20.00%
