Namecoin Mining Distribution
Block: 136111
26 Sep 2013 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%         146,099      100.00%               0           

           BTC Guild       57.47%          83,420        0.00%               0                     60.44%
            GHash.IO       22.00%          32,328        0.00%               0                     62.71%
           EclipseMC        6.99%          10,273        0.00%               0                     65.79%
           BitMinter        4.49%           6,632        0.00%               0                     54.10%
             Eligius        4.12%           5,994        0.00%               0                     58.93%
             Unknown        1.62%           2,633        0.00%               0                     52.27%
              F2Pool        1.55%           2,242        0.00%               0                     26.19%
          Bitparking        1.10%           1,619        0.00%               0                     66.67%
             Polmine        0.40%             574        0.00%               0                     81.82%
        TripleMining        0.26%             380        0.00%               0                     14.29%
