Namecoin Mining Distribution
Block: 210117
18 Dec 2014 

Hashrate (in Difficulty units per second; 1 Difficulty unit == 4 GiHash):

                       % of chain        Namecoin   % of chain         Bitcoin   % of par   % hit par tgt

         Total Chain      100.00%      32,810,489      100.00%               0           

              F2Pool       50.25%      16,488,751        0.00%               0                     51.36%
            GHash.IO       28.93%       9,494,226        0.00%               0                     58.14%
           BTC Guild        9.92%       3,247,969        0.00%               0                     49.17%
             Eligius        6.14%       2,015,863        0.00%               0                     52.68%
             AntPool        1.48%         480,151        0.00%               0                     62.96%
           BitMinter        0.93%         307,142        0.00%               0                     58.82%
             Unknown        0.82%         271,803        0.00%               0                     26.67%
        CloudHashing        0.82%         270,574        0.00%               0                     53.33%
           EclipseMC        0.66%         216,950        0.00%               0                     58.33%
              mmpool        0.05%          17,055        0.00%               0                      0.00%
